language,date,condition,speaker,duration,start,end,IOI
Mandarin,13010,conv,1,0.109953045,13.44444015,13.55439319,9.094791325
Mandarin,13010,conv,1,0.152389985,13.55439319,13.70678318,6.562111028
Mandarin,13010,conv,1,0.121911988,13.70678318,13.82869516,8.202638785
Mandarin,13010,conv,1,0.155776429,13.82869516,13.98447159,6.419456441
Mandarin,13010,conv,1,0.186254426,13.98447159,14.17072602,5.368999932
Mandarin,13010,conv,1,0.128684876,14.17072602,14.2994109,7.770920954
Mandarin,13010,conv,1,0.135457764,14.2994109,14.43486866,7.382374907
Mandarin,13010,conv,1,0.087763844,15.38077692,15.46854076,11.39421374
Mandarin,13010,conv,1,0.088047547,15.46854076,15.55658831,11.35749986
Mandarin,13010,conv,1,0.196413758,15.55658831,15.75300207,5.091293039
Mandarin,13010,conv,1,0.233664643,15.75300207,15.98666671,4.279637627
Mandarin,13010,conv,1,0.159162873,15.98666671,16.14582959,6.282872261
Mandarin,13010,conv,1,0.75856348,16.14582959,16.90439307,1.318281233
Mandarin,13010,conv,1,0.257369752,16.90439307,17.16176282,3.885460477
Mandarin,13010,conv,1,0.338644411,17.16176282,17.50040723,2.952949963
Mandarin,13010,conv,1,0.1151391,17.50040723,17.61554633,8.685146949
Mandarin,13010,conv,1,0.267458159,17.61554633,17.88300449,3.73890258
Mandarin,13010,conv,1,0.407534573,19.92548231,20.33301688,2.45377955
Mandarin,13010,conv,1,0.535058169,20.33301688,20.86807505,1.868955673
Mandarin,13010,conv,1,0.193027314,21.05094303,21.24397034,5.18061397
Mandarin,13010,conv,1,0.126145043,21.24397034,21.37011539,7.92738245
Mandarin,13010,conv,1,0.108366211,21.37011539,21.4784816,9.227968633
Mandarin,13010,conv,1,0.104979767,21.4784816,21.58346137,9.525645041
Mandarin,13010,conv,1,0.149003541,21.58346137,21.73246491,6.711249915
Mandarin,13010,conv,1,0.105786969,21.73246491,21.83825188,9.452960137
Mandarin,13010,conv,1,0.07450177,21.83825188,21.91275365,13.42249983
Mandarin,13010,conv,1,0.169322205,21.91275365,22.08207585,5.905899925
Mandarin,13010,conv,1,0.067728882,22.08207585,22.14980473,14.76474981
Mandarin,13010,conv,1,0.169322205,22.14980473,22.31912694,5.905899925
Mandarin,13010,conv,1,0.182588226,22.50538136,22.68796959,5.476804407
